Date,Technology,Estimated cost of hydrogen production [EUR/kg],Estimated cost of hydrogen production [EUR/MWh]
12/08/2025,SMR with CCS,2.40,72.90
12/08/2025,SMR without CCS,1.90,56.60
12/08/2025,Minimum RFNBO compliant,6.10,182.00
12/08/2025,Maximum RFNBO compliant,8.40,252.60
13/08/2025,Alcaline,5.70,170.20
13/08/2025,RFNBO compliant,8.00,240.90
13/08/2025,SMR with CCS,2.40,73.50
13/08/2025,SMR without CCS,1.90,57.10
13/08/2025,Minimum RFNBO compliant,7.20,215.30
13/08/2025,Maximum RFNBO compliant,8.40,252.90
14/08/2025,Alcaline,5.60,169.60
14/08/2025,RFNBO compliant,8.60,259.50
14/08/2025,SMR with CCS,2.40,72.80
14/08/2025,SMR without CCS,1.90,56.50
14/08/2025,Minimum RFNBO compliant,8.00,239.00
14/08/2025,Maximum RFNBO compliant,9.00,269.70
15/08/2025,Alcaline,5.60,168.40
15/08/2025,RFNBO compliant,8.60,257.30
15/08/2025,SMR without CCS,1.80,54.90
15/08/2025,Minimum RFNBO compliant,7.60,227.90
15/08/2025,Maximum RFNBO compliant,9.10,272.40
18/08/2025,Alcaline,5.70,170.60
18/08/2025,RFNBO compliant,7.30,220.60
18/08/2025,SMR without CCS,1.80,55.10
18/08/2025,Minimum RFNBO compliant,6.30,189.20
18/08/2025,Maximum RFNBO compliant,7.80,235.10
19/08/2025,Alcaline,5.60,169.10
19/08/2025,RFNBO compliant,8.20,245.00
19/08/2025,SMR without CCS,1.80,55.00
19/08/2025,Minimum RFNBO compliant,6.90,206.60
19/08/2025,Maximum RFNBO compliant,8.80,263.70
20/08/2025,Alcaline,5.70,170.70
20/08/2025,RFNBO compliant,7.70,232.30
20/08/2025,SMR without CCS,1.90,56.40
20/08/2025,Minimum RFNBO compliant,7.10,214.40
20/08/2025,Maximum RFNBO compliant,8.20,246.20
21/08/2025,Alcaline,5.90,176.00
21/08/2025,RFNBO compliant,7.70,231.30
21/08/2025,SMR without CCS,1.90,57.80
21/08/2025,Minimum RFNBO compliant,6.80,205.40
21/08/2025,Maximum RFNBO compliant,8.50,256.50
22/08/2025,Alcaline,5.90,176.90
22/08/2025,RFNBO compliant,7.20,216.00
22/08/2025,SMR without CCS,1.90,58.10
22/08/2025,Minimum RFNBO compliant,5.60,167.30
22/08/2025,Maximum RFNBO compliant,8.50,253.80
26/08/2025,Alcaline,5.90,178.20
26/08/2025,RFNBO compliant,7.20,214.90
26/08/2025,SMR without CCS,1.90,58.00
26/08/2025,Minimum RFNBO compliant,6.20,187.10
26/08/2025,Maximum RFNBO compliant,8.20,245.90
27/08/2025,Alcaline,5.90,177.40
27/08/2025,RFNBO compliant,8.20,246.30
27/08/2025,SMR without CCS,1.90,57.00
27/08/2025,Minimum RFNBO compliant,7.20,215.60
27/08/2025,Maximum RFNBO compliant,8.90,266.40
28/08/2025,Alcaline,5.80,175.40
28/08/2025,RFNBO compliant,8.50,254.70
28/08/2025,SMR without CCS,1.90,55.90
28/08/2025,Minimum RFNBO compliant,7.80,232.70
28/08/2025,Maximum RFNBO compliant,9.10,274.20
29/08/2025,Alcaline,5.90,176.00
29/08/2025,RFNBO compliant,7.90,237.20
29/08/2025,SMR without CCS,1.90,55.60
29/08/2025,Minimum RFNBO compliant,6.50,195.80
29/08/2025,Maximum RFNBO compliant,9.80,295.20
01/09/2025,Alcaline,5.80,175.00
01/09/2025,RFNBO compliant,7.10,213.50
01/09/2025,SMR without CCS,1.90,56.50
01/09/2025,Minimum RFNBO compliant,5.50,164.00
01/09/2025,Maximum RFNBO compliant,8.70,262.20
02/09/2025,Alcaline,5.80,173.40
02/09/2025,RFNBO compliant,7.10,212.20
02/09/2025,SMR without CCS,1.90,56.30
02/09/2025,Minimum RFNBO compliant,5.50,164.00
02/09/2025,Maximum RFNBO compliant,9.10,273.60
03/09/2025,Alcaline,5.70,172.60
03/09/2025,RFNBO compliant,7.60,227.20
03/09/2025,SMR without CCS,1.90,56.40
03/09/2025,Minimum RFNBO compliant,5.20,155.00
03/09/2025,Maximum RFNBO compliant,9.80,294.00
04/09/2025,Alcaline,5.90,176.80
04/09/2025,RFNBO compliant,6.40,193.50
04/09/2025,SMR without CCS,1.90,57.00
04/09/2025,Minimum RFNBO compliant,4.70,140.80
04/09/2025,Maximum RFNBO compliant,7.20,217.40
05/09/2025,Alcaline,6.20,184.80
05/09/2025,RFNBO compliant,7.00,209.50
05/09/2025,SMR without CCS,1.90,56.30
05/09/2025,Minimum RFNBO compliant,5.40,163.10
05/09/2025,Maximum RFNBO compliant,8.30,248.00
08/09/2025,Alcaline,6.20,186.90
08/09/2025,RFNBO compliant,7.60,229.60
08/09/2025,SMR without CCS,1.90,57.90
08/09/2025,Minimum RFNBO compliant,6.50,194.00
08/09/2025,Maximum RFNBO compliant,9.00,270.60
09/09/2025,Alcaline,6.20,184.90
09/09/2025,RFNBO compliant,8.50,254.80
09/09/2025,SMR without CCS,1.90,57.80
09/09/2025,Minimum RFNBO compliant,7.00,210.80
09/09/2025,Maximum RFNBO compliant,9.80,293.40
10/09/2025,Alcaline,6.20,185.40
10/09/2025,RFNBO compliant,8.60,257.20
10/09/2025,SMR without CCS,1.90,58.00
10/09/2025,Minimum RFNBO compliant,6.40,191.30
10/09/2025,Maximum RFNBO compliant,10.70,321.60
11/09/2025,Alcaline,6.10,183.30
11/09/2025,RFNBO compliant,7.60,229.50
11/09/2025,SMR without CCS,1.90,56.80
11/09/2025,Minimum RFNBO compliant,4.90,146.80
11/09/2025,Maximum RFNBO compliant,10.00,301.50
12/09/2025,Alcaline,6.20,186.80
12/09/2025,RFNBO compliant,6.50,195.30
12/09/2025,SMR without CCS,1.90,57.30
12/09/2025,Minimum RFNBO compliant,4.60,136.60
12/09/2025,Maximum RFNBO compliant,7.50,225.20
15/09/2025,Alcaline,6.20,185.90
15/09/2025,RFNBO compliant,6.50,195.70
15/09/2025,SMR without CCS,1.90,56.40
15/09/2025,Minimum RFNBO compliant,4.90,146.80
15/09/2025,Maximum RFNBO compliant,7.70,231.20
16/09/2025,Alcaline,6.20,187.50
16/09/2025,RFNBO compliant,5.50,164.30
16/09/2025,SMR without CCS,1.90,56.60
16/09/2025,Minimum RFNBO compliant,4.20,126.10
16/09/2025,Maximum RFNBO compliant,7.30,219.50
17/09/2025,Alcaline,6.30,188.40
17/09/2025,RFNBO compliant,6.10,182.40
17/09/2025,SMR without CCS,1.90,56.90
17/09/2025,Minimum RFNBO compliant,5.30,158.60
17/09/2025,Maximum RFNBO compliant,7.60,228.80
18/09/2025,Alcaline,6.40,191.50
18/09/2025,RFNBO compliant,7.60,227.10
18/09/2025,SMR without CCS,1.90,57.50
18/09/2025,Minimum RFNBO compliant,6.50,194.90
18/09/2025,Maximum RFNBO compliant,8.40,250.80
19/09/2025,Alcaline,6.30,189.90
19/09/2025,RFNBO compliant,7.30,220.00
19/09/2025,SMR without CCS,1.90,56.60
19/09/2025,Minimum RFNBO compliant,6.30,188.30
19/09/2025,Maximum RFNBO compliant,8.80,264.00
22/09/2025,Alcaline,6.30,188.60
22/09/2025,RFNBO compliant,7.80,235.40
22/09/2025,SMR without CCS,1.90,56.20
22/09/2025,Minimum RFNBO compliant,6.20,186.20
22/09/2025,Maximum RFNBO compliant,8.50,254.70
23/09/2025,Alcaline,6.20,187.30
23/09/2025,RFNBO compliant,6.80,205.60
23/09/2025,SMR without CCS,1.90,56.70
23/09/2025,Minimum RFNBO compliant,4.80,143.20
23/09/2025,Maximum RFNBO compliant,8.60,258.30
24/09/2025,Alcaline,6.20,184.80
24/09/2025,RFNBO compliant,7.30,219.50
24/09/2025,SMR without CCS,1.90,56.20
24/09/2025,Minimum RFNBO compliant,4.90,145.90
24/09/2025,Maximum RFNBO compliant,9.10,274.50
25/09/2025,Alcaline,6.20,185.30
25/09/2025,RFNBO compliant,6.90,207.40
25/09/2025,SMR without CCS,1.90,57.10
25/09/2025,Minimum RFNBO compliant,5.60,169.10
25/09/2025,Maximum RFNBO compliant,8.00,240.80
26/09/2025,Alcaline,6.20,186.20
26/09/2025,RFNBO compliant,7.60,228.60
26/09/2025,SMR without CCS,1.90,57.20
26/09/2025,Minimum RFNBO compliant,6.90,206.90
26/09/2025,Maximum RFNBO compliant,8.00,238.70
29/09/2025,Alcaline,6.20,185.70
29/09/2025,RFNBO compliant,8.30,250.70
29/09/2025,SMR without CCS,1.90,56.30
29/09/2025,Minimum RFNBO compliant,7.90,236.60
29/09/2025,Maximum RFNBO compliant,8.70,260.10
30/09/2025,Alcaline,6.20,185.90
30/09/2025,RFNBO compliant,8.30,249.50
30/09/2025,SMR without CCS,1.80,55.10
30/09/2025,Minimum RFNBO compliant,6.60,197.90
30/09/2025,Maximum RFNBO compliant,10.20,307.20
01/10/2025,Alcaline,6.60,197.80
01/10/2025,RFNBO compliant,8.70,262.30
01/10/2025,SMR without CCS,1.90,55.90
01/10/2025,Minimum RFNBO compliant,6.70,200.30
01/10/2025,Maximum RFNBO compliant,10.50,314.40
02/10/2025,Alcaline,6.60,197.70
02/10/2025,RFNBO compliant,8.50,254.40
02/10/2025,SMR without CCS,1.90,55.60
02/10/2025,Minimum RFNBO compliant,6.80,203.30
02/10/2025,Maximum RFNBO compliant,9.60,288.30
03/10/2025,Alcaline,6.70,200.30
03/10/2025,RFNBO compliant,8.10,242.20
03/10/2025,SMR without CCS,1.90,55.70
03/10/2025,Minimum RFNBO compliant,6.50,195.50
03/10/2025,Maximum RFNBO compliant,8.80,265.50
06/10/2025,Alcaline,7.20,217.00
06/10/2025,RFNBO compliant,7.40,222.40
06/10/2025,SMR without CCS,1.90,58.20
06/10/2025,Minimum RFNBO compliant,6.00,181.40
06/10/2025,Maximum RFNBO compliant,8.80,263.10
07/10/2025,Alcaline,7.30,218.30
07/10/2025,RFNBO compliant,7.90,236.30
07/10/2025,SMR without CCS,1.90,58.50
07/10/2025,Minimum RFNBO compliant,7.00,209.90
07/10/2025,Maximum RFNBO compliant,8.40,253.50
08/10/2025,Alcaline,7.20,217.50
08/10/2025,RFNBO compliant,9.30,278.20
08/10/2025,SMR without CCS,1.90,57.60
08/10/2025,Minimum RFNBO compliant,7.80,233.00
08/10/2025,Maximum RFNBO compliant,10.50,314.70
09/10/2025,Alcaline,7.20,217.00
09/10/2025,RFNBO compliant,9.00,270.20
09/10/2025,SMR without CCS,1.90,57.30
09/10/2025,Minimum RFNBO compliant,8.00,240.80
09/10/2025,Maximum RFNBO compliant,9.80,293.70
10/10/2025,Alcaline,7.20,216.60
10/10/2025,RFNBO compliant,8.10,243.80
10/10/2025,SMR without CCS,1.90,56.70
10/10/2025,Minimum RFNBO compliant,7.00,209.00
10/10/2025,Maximum RFNBO compliant,9.00,270.60
13/10/2025,Alcaline,7.20,216.00
13/10/2025,RFNBO compliant,8.10,243.30
13/10/2025,SMR without CCS,1.90,56.10
13/10/2025,Minimum RFNBO compliant,7.50,225.20
13/10/2025,Maximum RFNBO compliant,8.60,258.60
14/10/2025,Alcaline,7.30,217.90
14/10/2025,RFNBO compliant,9.20,276.30
14/10/2025,SMR without CCS,1.90,56.50
14/10/2025,Minimum RFNBO compliant,7.10,213.80
14/10/2025,Maximum RFNBO compliant,10.70,320.40
15/10/2025,Alcaline,7.20,217.40
15/10/2025,RFNBO compliant,9.70,291.30
15/10/2025,SMR without CCS,1.90,56.60
15/10/2025,Minimum RFNBO compliant,7.80,233.60
15/10/2025,Maximum RFNBO compliant,11.10,333.90
16/10/2025,Alcaline,7.40,222.50
16/10/2025,RFNBO compliant,9.50,284.10
16/10/2025,SMR without CCS,1.90,57.20
16/10/2025,Minimum RFNBO compliant,7.60,229.10
16/10/2025,Maximum RFNBO compliant,10.70,320.70
